id,vessel_id,component,component_code,job_id,work_order_no,work_order_type,template_code,execution_id,job_title,assigned_to,due_date,status,date_completed,submitted_date,task_type,maintenance_type,maintenance_basis,frequency_value,frequency_unit,approver_remarks,is_execution,template_id,approver,approval_date,rejection_date,next_due_date,next_due_reading,current_reading,class_related,job_priority,brief_work_description,data_scope,fleet_equipment_code,fleet_job_code,job_group,job_category,sfi_code,maintenance_interval_value,maintenance_interval_unit,interval_running_hour,department,criticality,is_active,scope_notes,postponement_end_date,postponement_reason,postponement_authorized_by,on_demand_reason,risk_assessment_status,safety_checklists_status,operational_forms_status,start_date_time,completion_date_time,execution_assigned_to,performed_by,no_of_persons,total_time_hours,manhours,work_carried_out,job_experience_notes,previous_reading,running_hours,running_hours_difference,reading_date,wo_execution_id,remarks,completion_remarks,rejection_comments,approval_action,driver_type,created_at,updated_at,was_rejected
WO-1771412274851-z9l38ao16,7440571a-841a-11ed-aa7c-7003bca91a86,Portable Foam Fire Extinguisher 9KG (Pcs 35),505.001.03,JOB-1771412260287-vpovlfktd,STD-CH-00009-505.001.03-2026-001,Planned,STD-CH-00009-505.001.03-2026-001,,Portable Fire Extinguisher Checks - 1M,3rd Officer,20-Feb-2026,Due,,,Inspection,,Calendar,1,Months,,f,,,,,,,,,Medium,"SAFETY PROCEDURE (COMPANY)
===========================
Ensure compliance with safety procedures according to the company policy and requirements.

DESCRIPTION
===========
Check pressure gauge, seal, pin condition, external damage, and servicing validity.",vessel,,,,,,,,,Deck,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,CALENDAR,2026-02-18 10:57:54.852807,2026-02-18 10:57:54.852807,f
WO-1771412274710-kf13xmur5,7440571a-841a-11ed-aa7c-7003bca91a86,Portable Powder Fire Extinguisher 6KG (Pcs 39),505.001.04,JOB-1771412260292-p0yuxh98n,STD-CH-00009-505.001.04-2026-001,Planned,STD-CH-00009-505.001.04-2026-001,,Portable Fire Extinguisher Checks - 1M,3rd Officer,20-Feb-2026,Due,,,Overhaul,,Calendar,1,Months,,f,,,,,,,,,Medium,"SAFETY PROCEDURE (COMPANY)
===========================
Ensure compliance with safety procedures according to the company policy and requirements.

DESCRIPTION
===========
Check pressure gauge, seal, pin condition, external damage, and servicing validity.",vessel,,,,,,,,,Deck,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,CALENDAR,2026-02-18 10:57:54.711393,2026-02-18 10:57:54.711393,f
WO-1771412274552-dgr65jjlc,7440571a-841a-11ed-aa7c-7003bca91a86,Portable CO2 Fire Extinguisher 5KG (Pcs 14),505.001.01,JOB-1771412260276-qs47jy0ws,STD-CH-00009-505.001.01-2026-001,Planned,STD-CH-00009-505.001.01-2026-001,,Portable Fire Extinguisher Checks - 1M,3rd Officer,20-Feb-2026,Due,,,Overhaul,,Calendar,1,Months,,f,,,,,,,,,Medium,"SAFETY PROCEDURE (COMPANY)
===========================
Ensure compliance with safety procedures according to the company policy and requirements.

DESCRIPTION
===========
Check pressure gauge, seal, pin condition, external damage, and servicing validity.",vessel,,,,,,,,,Deck,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,CALENDAR,2026-02-18 10:57:54.553713,2026-02-18 10:57:54.553713,f
WO-1771412274398-c7qabxfu1,7440571a-841a-11ed-aa7c-7003bca91a86,Wheeled Powder Fire Extinguisher 25KG,505.001.05,JOB-1771412260301-kx3se05yr,STD-CH-00009-505.001.05-2026-001,Planned,STD-CH-00009-505.001.05-2026-001,,Portable Fire Extinguisher Checks - 1M,3rd Officer,20-Feb-2026,Due,,,Inspection,,Calendar,1,Months,,f,,,,,,,,,Medium,"SAFETY PROCEDURE (COMPANY)
===========================
Ensure compliance with safety procedures according to the company policy and requirements.

DESCRIPTION
===========
Check pressure gauge, seal, pin condition, external damage, and servicing validity.",vessel,,,,,,,,,Deck,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,CALENDAR,2026-02-18 10:57:54.400525,2026-02-18 10:57:54.400525,f
WO-1771412274267-ud38mcywn,7440571a-841a-11ed-aa7c-7003bca91a86,No.1 Lifebuoy (Pcs 6),504.001,JOB-1771412260269-9cuhfab0p,STD-CH-00008-504.001-2026-001,Planned,STD-CH-00008-504.001-2026-001,,Lifebuoy Checks - 1M,2nd Officer,20-Feb-2026,Due,,,Inspection,,Calendar,1,Months,,f,,,,,,,,,Medium,"SAFETY PROCEDURE (COMPANY)
===========================
Ensure compliance with safety procedures according to the company policy and requirements.

DESCRIPTION
===========
Check physical condition, self-igniting light and smoke signal availability, and proper securing.",vessel,,,,,,,,,Deck,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,CALENDAR,2026-02-18 10:57:54.268014,2026-02-18 10:57:54.268014,f
WO-1771412274114-jo9ssh9zz,7440571a-841a-11ed-aa7c-7003bca91a86,Immersion Suit (Pcs 6),503.021,JOB-1771412260263-maooohizu,STD-CH-00007-503.021-2026-001,Planned,STD-CH-00007-503.021-2026-001,,Immersion Suit Checks - 1M,2nd Officer,20-Feb-2026,Due,,,Inspection,,Calendar,1,Months,,f,,,,,,,,,Medium,"SAFETY PROCEDURE (COMPANY)
===========================
Ensure compliance with safety procedures according to the company policy and requirements.

DESCRIPTION
===========
Inspect for tears, zipper condition, watertight integrity, and correct storage.",vessel,,,,,,,,,Deck,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,CALENDAR,2026-02-18 10:57:54.115828,2026-02-18 10:57:54.115828,f
WO-1771412273971-pszedy8b5,7440571a-841a-11ed-aa7c-7003bca91a86,Line-throwing appliance (Pcs 4),503.019,JOB-1771412260257-whqx7jr5n,STD-CH-00006-503.019-2026-001,Planned,STD-CH-00006-503.019-2026-001,,Line-throwing appliance Checks - 1M,2nd Officer,20-Feb-2026,Due,,,Inspection,,Calendar,1,Months,,f,,,,,,,,,Medium,"SAFETY PROCEDURE (COMPANY)
===========================
Ensure compliance with safety procedures according to the company policy and requirements.

DESCRIPTION
===========
Check rocket expiry, line condition, firing mechanism, and storage box integrity.",vessel,,,,,,,,,Deck,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,CALENDAR,2026-02-18 10:57:53.972301,2026-02-18 10:57:53.972301,f
WO-1771412273852-b3h22hw5f,7440571a-841a-11ed-aa7c-7003bca91a86,Life-jacket (Pcs 6),503.016,JOB-1771412260252-mthhkuj8o,STD-CH-00005-503.016-2026-001,Planned,STD-CH-00005-503.016-2026-001,,Life-jacket  Checks - 1M,2nd Officer,20-Feb-2026,Due,,,Overhaul,,Calendar,1,Months,,f,,,,,,,,,Medium,"SAFETY PROCEDURE (COMPANY)
===========================
Ensure compliance with safety procedures according to the company policy and requirements.

DESCRIPTION
===========
Inspect for damages, lights and whistles functionality, reflective tapes, and proper stowage.",vessel,,,,,,,,,Deck,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,CALENDAR,2026-02-18 10:57:53.853719,2026-02-18 10:57:53.853719,f
WO-1771412273727-of70lxmoj,7440571a-841a-11ed-aa7c-7003bca91a86,Hand Flare,503.008,JOB-1771412260246-if106ic8y,STD-CH-00004-503.008-2026-001,Planned,STD-CH-00004-503.008-2026-001,,Hand Flare Checks - 1M,2nd Officer,20-Feb-2026,Due,,,Inspection,,Calendar,1,Months,,f,,,,,,,,,Medium,"SAFETY PROCEDURE (COMPANY)
===========================
Ensure compliance with safety procedures according to the company policy and requirements.

DESCRIPTION
===========
Check expiry date, storage condition, and ensure safety seals are intact.",vessel,,,,,,,,,Deck,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,CALENDAR,2026-02-18 10:57:53.729057,2026-02-18 10:57:53.729057,f
WO-1771412273562-dddcobsbe,7440571a-841a-11ed-aa7c-7003bca91a86,Parachute Signal Rocket Red (Pcs 12),503.007,JOB-1771412260240-tqy25t9d5,STD-CH-00003-503.007-2026-001,Planned,STD-CH-00003-503.007-2026-001,,Parachute Signal Rocket Red Checks - 1M,2nd Officer,20-Feb-2026,Due,,,Inspection,,Calendar,1,Months,,f,,,,,,,,,Medium,"SAFETY PROCEDURE (COMPANY)
===========================
Ensure compliance with safety procedures according to the company policy and requirements.

DESCRIPTION
===========
Verify expiry date, storage condition, and quantity as per statutory requirement.",vessel,,,,,,,,,Deck,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,CALENDAR,2026-02-18 10:57:53.563437,2026-02-18 10:57:53.563437,f
WO-1771412273440-mro5ncnf2,7440571a-841a-11ed-aa7c-7003bca91a86,Lifebuoy Signaling Apparatus (Pcs 2),503.002,JOB-1771412260233-9hmqseevs,STD-CH-00002-503.002-2026-001,Planned,STD-CH-00002-503.002-2026-001,,Lifebuoy Signaling Apparatus Checks - 1M,2nd Officer,20-Feb-2026,Due,,,Overhaul,,Calendar,1,Months,,f,,,,,,,,,Medium,"SAFETY PROCEDURE (COMPANY)
===========================
Ensure compliance with safety procedures according to the company policy and requirements.

DESCRIPTION
===========
Check expiry date, physical condition, mounting arrangement, and ensure proper accessibility.",vessel,,,,,,,,,Deck,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,CALENDAR,2026-02-18 10:57:53.441566,2026-02-18 10:57:53.441566,f
WO-1771412273286-s95dj631s,7440571a-841a-11ed-aa7c-7003bca91a86,No.2 Liferaft,502.005.02,JOB-1771412260226-7jy06x3kz,STD-CH-00001-502.005.02-2026-001,Planned,STD-CH-00001-502.005.02-2026-001,,Liferaft Check - 1M,2nd Officer,20-Feb-2026,Due,,,Inspection,,Calendar,1,Months,,f,,,,,,,,No,Medium,"SAFETY PROCEDURE (COMPANY)
===========================
Ensure compliance with safety procedures according to the company policy and requirements.

DESCRIPTION
===========
1. Cables and plugs must be inspected regularly for damage according to applicable regulations and voyage conditions.",vessel,,,,,,,,,Deck,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,CALENDAR,2026-02-18 10:57:53.286978,2026-02-18 10:57:53.286978,f
WO-1771412273129-wfp7irlee,7440571a-841a-11ed-aa7c-7003bca91a86,No.1 Liferaft,502.005.01,JOB-1771412260161-dtoera0zc,STD-CH-00001-502.005.01-2026-001,Planned,STD-CH-00001-502.005.01-2026-001,,Liferaft Check - 1M,2nd Officer,20-Feb-2026,Due,,,Inspection,,Calendar,1,Months,,f,,,,,,,,No,Medium,"SAFETY PROCEDURE (COMPANY)
===========================
Ensure compliance with safety procedures according to the company policy and requirements.

DESCRIPTION
===========
1. Cables and plugs must be inspected regularly for damage according to applicable regulations and voyage conditions.",vessel,,,,,,,,,Deck,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,CALENDAR,2026-02-18 10:57:53.130645,2026-02-18 10:57:53.130645,f
WO-1770978832255-07p5tpgm7,7440571a-841a-11ed-aa7c-7003bca91a86,Ballast tanks/SW tanks No.06,285.001.06,JOB-1768375696857-ts9yqo7ko,MKR-IN-00072-285.001.06-2026-212,Standard,,,Ballast Tanks Inspection - 1M,Chief Engineer,27-Feb-2026,Due,,,Maintenance,Planned,Calendar,1,Months,,f,,,,,,,,No,Low,,vessel,,,,,,,,,,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,calendar,2026-02-18 03:46:53.786,2026-02-13 10:34:07.023,f
WO-1770978832256-lfyvqrohm,7440571a-841a-11ed-aa7c-7003bca91a86,"ME pistons, piston rods No.01",601.004.01,JOB-1768375697147-r1wnkg8c5,MKR-OV-00011-601.004.01-2026-293,Standard,,,"ME Piston, Overhaul - 6000H",4th Engineer,22-Feb-2026,Active,,,Maintenance,Planned,Running Hours,6000,Hours,,f,,,,,,,,Yes,Medium,,vessel,,,,,,,,,,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,running_hours,2026-02-15 01:55:08.927,2026-02-15 01:55:08.927,f
WO-1770978832254-gmkrm7dkp,7440571a-841a-11ed-aa7c-7003bca91a86,ME turning gear,601.064,JOB-1768375697624-8syczggwk,MKR-IN-00065-601.064-2026-019,Standard,,,"ME Turning Gear V-belt, Inspection - 2000H",2nd Engineer,27-Feb-2026,Active,,,Maintenance,Planned,Running Hours,2000,Hours,,f,,,,,,,,No,Medium,,vessel,,,,,,,,,,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,running_hours,2026-02-14 21:06:32.886,2026-02-14 21:06:32.886,f
WO-1770967534966-4fk8haxhp,7440571a-841a-11ed-aa7c-7003bca91a86,ME Hp Fuel Pumps No.02,601.026.02,JOB-1768375697527-ujfr5fmcu,MKR-OV-00013-601.026.02-2026-001,Planned,MKR-OV-00013-601.026.02-2026-001,,"ME Fuel Injection Pump, Overhaul - 6000H",2nd Engineer,,Due (Grace P),,,Overhaul,,Running Hours,6000,Hours,,f,,,,,,6000,6050,Yes,Medium,"SAFETY PROCEDURE (COMPANY)
===========================
Ensure compliance with safety procedures according to the company policy and requirements.

JOB REFERENCE DETAILS
===================
Manual Name: 3M-2 DIESEL ENGINE VOL II;5303.pdf
Pdf Page No: 195,294-297
Job Reference: Group No. 3100
Chapter: Maintenance Schedule Of Main Parts


DESCRIPTION
===========
1. Dismantling, cleaning and inspection of fuel injection pump.
2. Inspection of fuel injection timing.",vessel,,,,,,,,6000,Engine,,t,,25-Mar-2026,Spare parts awaiting delivery from supplier,Supt. Nakamura,,,,,,,,,,,,,,,,,,,,,,,RH,2026-02-13 07:25:34.96785,2026-02-13 10:43:47.713894,f
WO-1770967534908-eya2px6e4,7440571a-841a-11ed-aa7c-7003bca91a86,ME Hp Fuel Pumps No.01,601.026.01,JOB-1768375697514-p5gff44nh,MKR-OV-00013-601.026.01-2026-001,Planned,MKR-OV-00013-601.026.01-2026-001,,"ME Fuel Injection Pump, Overhaul - 6000H",2nd Engineer,,Due (Grace P),,,Overhaul,,Running Hours,6000,Hours,,f,,,,,,6000,6050,Yes,Medium,"SAFETY PROCEDURE (COMPANY)
===========================
Ensure compliance with safety procedures according to the company policy and requirements.

JOB REFERENCE DETAILS
===================
Manual Name: 3M-2 DIESEL ENGINE VOL II;5303.pdf
Pdf Page No: 195,294-297
Job Reference: Group No. 3100
Chapter: Maintenance Schedule Of Main Parts


DESCRIPTION
===========
1. Dismantling, cleaning and inspection of fuel injection pump.
2. Inspection of fuel injection timing.",vessel,,,,,,,,6000,Engine,,t,,02-Apr-2026,Sea state preventing safe access to equipment,Capt. Morrison,,,,,,,,,,,,,,,,,,,,,,,RH,2026-02-13 07:25:34.909683,2026-02-13 10:43:47.717389,f
WO-1770967534847-av4a3hg72,7440571a-841a-11ed-aa7c-7003bca91a86,ME Hp Fuel Pumps No.05,601.026.05,JOB-1768375697563-3dwpuuw6a,MKR-OV-00013-601.026.05-2026-001,Planned,MKR-OV-00013-601.026.05-2026-001,,"ME Fuel Injection Pump, Overhaul - 6000H",2nd Engineer,,Due (Grace P),,,Overhaul,,Running Hours,6000,Hours,,f,,,,,,6000,6050,Yes,Medium,"SAFETY PROCEDURE (COMPANY)
===========================
Ensure compliance with safety procedures according to the company policy and requirements.

JOB REFERENCE DETAILS
===================
Manual Name: 3M-2 DIESEL ENGINE VOL II;5303.pdf
Pdf Page No: 195,294-297
Job Reference: Group No. 3100
Chapter: Maintenance Schedule Of Main Parts


DESCRIPTION
===========
1. Dismantling, cleaning and inspection of fuel injection pump.
2. Inspection of fuel injection timing.",vessel,,,,,,,,6000,Engine,,t,,06-Mar-2026,Deferred to scheduled drydock period,Capt. Morrison,,,,,,,,,,,,,,,,,,,,,,,RH,2026-02-13 07:25:34.848689,2026-02-13 10:43:47.720897,f
WO-1770967534756-ndwdnwv91,7440571a-841a-11ed-aa7c-7003bca91a86,ME Hp Fuel Pumps No.03,601.026.03,JOB-1768375697540-am9p7m5q6,MKR-OV-00013-601.026.03-2026-001,Planned,MKR-OV-00013-601.026.03-2026-001,,"ME Fuel Injection Pump, Overhaul - 6000H",2nd Engineer,,Due (Grace P),,,Overhaul,,Running Hours,6000,Hours,,f,,,,,,6000,6050,Yes,Medium,"SAFETY PROCEDURE (COMPANY)
===========================
Ensure compliance with safety procedures according to the company policy and requirements.

JOB REFERENCE DETAILS
===================
Manual Name: 3M-2 DIESEL ENGINE VOL II;5303.pdf
Pdf Page No: 195,294-297
Job Reference: Group No. 3100
Chapter: Maintenance Schedule Of Main Parts


DESCRIPTION
===========
1. Dismantling, cleaning and inspection of fuel injection pump.
2. Inspection of fuel injection timing.",vessel,,,,,,,,6000,Engine,,t,,03-Mar-2026,Spare parts awaiting delivery from supplier,C/E Petrov,,,,,,,,,,,,,,,,,,,,,,,RH,2026-02-13 07:25:34.758026,2026-02-13 10:43:47.724545,f
WO-1770967534639-0n6gzbz4k,7440571a-841a-11ed-aa7c-7003bca91a86,ME Hp Fuel Pumps No.06,601.026.06,JOB-1768375697574-5699bmaja,MKR-OV-00013-601.026.06-2026-001,Planned,MKR-OV-00013-601.026.06-2026-001,,"ME Fuel Injection Pump, Overhaul - 6000H",2nd Engineer,,Due (Grace P),,,Overhaul,,Running Hours,6000,Hours,,f,,,,,,6000,6050,Yes,Medium,"SAFETY PROCEDURE (COMPANY)
===========================
Ensure compliance with safety procedures according to the company policy and requirements.

JOB REFERENCE DETAILS
===================
Manual Name: 3M-2 DIESEL ENGINE VOL II;5303.pdf
Pdf Page No: 195,294-297
Job Reference: Group No. 3100
Chapter: Maintenance Schedule Of Main Parts


DESCRIPTION
===========
1. Dismantling, cleaning and inspection of fuel injection pump.
2. Inspection of fuel injection timing.",vessel,,,,,,,,6000,Engine,,t,,05-Mar-2026,Awaiting next port call for shore-based maintenance support,C/E Petrov,,,,,,,,,,,,,,,,,,,,,,,RH,2026-02-13 07:25:34.640765,2026-02-13 10:43:47.72705,f
WO-1770967534573-jt363tt5w,7440571a-841a-11ed-aa7c-7003bca91a86,ME Hp Fuel Pumps No.04,601.026.04,JOB-1768375697551-1z96303d8,MKR-OV-00013-601.026.04-2026-001,Planned,MKR-OV-00013-601.026.04-2026-001,,"ME Fuel Injection Pump, Overhaul - 6000H",2nd Engineer,,Due (Grace P),,,Overhaul,,Running Hours,6000,Hours,,f,,,,,,6000,6050,Yes,Medium,"SAFETY PROCEDURE (COMPANY)
===========================
Ensure compliance with safety procedures according to the company policy and requirements.

JOB REFERENCE DETAILS
===================
Manual Name: 3M-2 DIESEL ENGINE VOL II;5303.pdf
Pdf Page No: 195,294-297
Job Reference: Group No. 3100
Chapter: Maintenance Schedule Of Main Parts


DESCRIPTION
===========
1. Dismantling, cleaning and inspection of fuel injection pump.
2. Inspection of fuel injection timing.",vessel,,,,,,,,6000,Engine,,t,,13-Mar-2026,Pending receipt of replacement parts from maker,Supt. Nakamura,,,,,,,,,,,,,,,,,,,,,,,RH,2026-02-13 07:25:34.574699,2026-02-13 10:43:47.730044,f
